,Site,Year,Species,Phytometer,Neighbour,Treatment,light,carbon,WUE
851,PCA1CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,200,3.9,1.46
852,PCA1CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,100,0.7,0.3
853,PCA1CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,50,-1.3,-0.68
854,PCA1CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,0,-2.3,-1.61
855,PCA2,2017,Phragmites,Phragmites_Carex,Carex,Competition,1500,13,2.81
856,PCA2,2017,Phragmites,Phragmites_Carex,Carex,Competition,1000,12.5,3.46
857,PCA2,2017,Phragmites,Phragmites_Carex,Carex,Competition,500,10.3,3.41
858,PCA2,2017,Phragmites,Phragmites_Carex,Carex,Competition,200,5.2,1.92
859,PCA2,2017,Phragmites,Phragmites_Carex,Carex,Competition,100,1.6,0.7
860,PCA2,2017,Phragmites,Phragmites_Carex,Carex,Competition,50,-0.1,-0.05
861,PCA2,2017,Phragmites,Phragmites_Carex,Carex,Competition,0,-1.3,-0.87
862,PCA2CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,1500,19.7,3.09
863,PCA2CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,1000,17.8,3.81
864,PCA2CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,500,13.5,2.91
865,PCA2CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,200,5.7,1.37
866,PCA2CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,100,1.9,0.5
867,PCA2CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,50,0,0
868,PCA2CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,0,-1.4,-0.52
869,PCA3,2017,Phragmites,Phragmites_Carex,Carex,Competition,1500,16.4,2.28
870,PCA3,2017,Phragmites,Phragmites_Carex,Carex,Competition,1000,15,2.9
871,PCA3,2017,Phragmites,Phragmites_Carex,Carex,Competition,500,11.5,2.4
872,PCA3,2017,Phragmites,Phragmites_Carex,Carex,Competition,200,5.1,1.15
873,PCA3,2017,Phragmites,Phragmites_Carex,Carex,Competition,100,1.8,0.45
874,PCA3,2017,Phragmites,Phragmites_Carex,Carex,Competition,50,-0.2,-0.06
875,PCA3,2017,Phragmites,Phragmites_Carex,Carex,Competition,0,-1.2,-0.5
876,PCA3CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,1500,18.1,3.01
877,PCA3CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,1000,15.5,3.5
878,PCA3CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,500,12.2,3.04
879,PCA3CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,200,6.1,1.64
880,PCA3CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,100,2.1,0.65
881,PCA3CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,50,0.3,0.12
882,PCA3CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,0,-0.7,-0.41
883,PCA4,2017,Phragmites,Phragmites_Carex,Carex,Competition,1500,19.9,3.02
884,PCA4,2017,Phragmites,Phragmites_Carex,Carex,Competition,1000,18.2,3.77
885,PCA4,2017,Phragmites,Phragmites_Carex,Carex,Competition,500,14.1,3.13
886,PCA4,2017,Phragmites,Phragmites_Carex,Carex,Competition,200,7,1.69
887,PCA4,2017,Phragmites,Phragmites_Carex,Carex,Competition,100,2.9,0.78
888,PCA4,2017,Phragmites,Phragmites_Carex,Carex,Competition,50,1.1,0.33
889,PCA4,2017,Phragmites,Phragmites_Carex,Carex,Competition,0,-0.2,-0.07
890,PCA4CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,1500,25.9,2.23
891,PCA4CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,1000,22.7,2.7
892,PCA4CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,500,15.7,1.94
893,PCA4CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,200,6.7,0.87
894,PCA4CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,100,3.1,0.42
895,PCA4CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,50,1,0.16
896,PCA4CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,0,-0.6,-0.13
897,PCA5,2017,Phragmites,Phragmites_Carex,Carex,Competition,1500,21,3.03
898,PCA5,2017,Phragmites,Phragmites_Carex,Carex,Competition,1000,19,3.78
899,PCA5,2017,Phragmites,Phragmites_Carex,Carex,Competition,500,14.4,2.99
900,PCA5,2017,Phragmites,Phragmites_Carex,Carex,Competition,200,6.7,1.52
901,PCA5,2017,Phragmites,Phragmites_Carex,Carex,Competition,100,2.6,0.66
902,PCA5,2017,Phragmites,Phragmites_Carex,Carex,Competition,50,0.6,0.17
903,PCA5,2017,Phragmites,Phragmites_Carex,Carex,Competition,0,-0.8,-0.26
904,PCA5CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,1500,15.6,3.28
905,PCA5CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,1000,14.4,4.25
906,PCA5CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,500,11,3.59
907,PCA5CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,200,5.5,2.12
908,PCA5CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,100,1.7,1.06
909,PCA5CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,50,0,0
910,PCA5CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,0,-1.2,-1.33
911,PCA6,2017,Phragmites,Phragmites_Carex,Carex,Competition,1500,22.3,2.83
912,PCA6,2017,Phragmites,Phragmites_Carex,Carex,Competition,1000,19.6,3.26
913,PCA6,2017,Phragmites,Phragmites_Carex,Carex,Competition,500,15.3,2.58
914,PCA6,2017,Phragmites,Phragmites_Carex,Carex,Competition,200,8.3,1.49
915,PCA6,2017,Phragmites,Phragmites_Carex,Carex,Competition,100,4,0.76
916,PCA6,2017,Phragmites,Phragmites_Carex,Carex,Competition,50,2.8,0.58
917,PCA6,2017,Phragmites,Phragmites_Carex,Carex,Competition,0,1.7,0.39
918,PCA6CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,1500,23.1,2.94
919,PCA6CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,1000,24.3,3.77
920,PCA6CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,500,14.3,2.76
