Site,Year,Species,Phytometer,Neighbour,Treatment,light,carbon,WUE
TYP4CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1500,23.8,2.07
TYP4CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1000,22,2.63
TYP4CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,500,16.4,1.97
TYP4CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,200,6.3,0.8
TYP4CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,100,1.5,0.2
TYP4CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,50,-0.1,-0.01
TYP4CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,0,-1.2,-0.18
TYP5,2017,Typha,Typha_Phragmites,Phragmites,Competition,1500,22.6,1.91
TYP5,2017,Typha,Typha_Phragmites,Phragmites,Competition,1000,21.5,2.25
TYP5,2017,Typha,Typha_Phragmites,Phragmites,Competition,500,16.4,1.85
TYP5,2017,Typha,Typha_Phragmites,Phragmites,Competition,200,7,0.83
TYP5,2017,Typha,Typha_Phragmites,Phragmites,Competition,100,2.6,0.33
TYP5,2017,Typha,Typha_Phragmites,Phragmites,Competition,50,0.2,0.03
TYP5,2017,Typha,Typha_Phragmites,Phragmites,Competition,0,-1.2,-0.17
TYP5CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1500,21.3,2.22
TYP5CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1000,18.4,2.51
TYP5CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,500,13.4,2.08
TYP5CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,200,6.5,1.19
TYP5CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,100,2.4,0.49
TYP5CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,50,0.1,0.02
TYP5CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,0,-1.4,-0.34
TYP6,2017,Typha,Typha_Phragmites,Phragmites,Competition,1500,22.3,2.17
TYP6,2017,Typha,Typha_Phragmites,Phragmites,Competition,1000,22.8,2.92
TYP6,2017,Typha,Typha_Phragmites,Phragmites,Competition,500,17.2,2.55
TYP6,2017,Typha,Typha_Phragmites,Phragmites,Competition,200,7.8,1.15
TYP6,2017,Typha,Typha_Phragmites,Phragmites,Competition,100,3.5,0.58
TYP6,2017,Typha,Typha_Phragmites,Phragmites,Competition,50,2.1,0.38
TYP6,2017,Typha,Typha_Phragmites,Phragmites,Competition,0,0.8,0.16
TYP6CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1500,24,2.04
TYP6CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,1000,22.2,2.27
TYP6CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,500,17,1.89
TYP6CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,200,7.1,0.83
TYP6CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,100,2.7,0.34
TYP6CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,50,0.2,0.03
TYP6CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,0,-1.4,-0.21
