Site,Year,Species,Phytometer,Neighbour,Treatment,light,carbon,WUE
CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,50,1,0.37
CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,0,-0.3,-0.13
CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1500,5.1,2.13
CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1000,4.5,3.46
CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,500,3.8,2.73
CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,200,2.8,2.28
CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,100,1.3,1.25
CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,50,-0.1,-0.1
CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,0,-0.9,-1.3
CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1500,14.3,2.19
CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1000,13.5,2.9
CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,500,11,2.41
CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,200,6.1,1.4
CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,100,2.7,0.67
CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,50,1.2,0.34
CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,0,0,0
CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1500,14.5,1.88
CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1000,13,2.45
CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,500,10.8,2.18
CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,200,6.6,1.47
CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,100,3.6,1.17
CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,50,1.6,0.48
CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,0,0.2,0.07
CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1500,9.8,2.09
CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1000,9,2.78
CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,500,7.6,2.59
CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,200,4.4,1.77
CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,100,1.9,0.91
