Site,Year,Species,Phytometer,Neighbour,Treatment,Light intensity,Carbon Assimilation,WUE
PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,0,-1,-0.89
PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,23.5,4.38
PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,20.8,4.15
PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,15.2,3.16
PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,6.7,1.28
PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,2.6,0.62
PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,0.2,0.05
PTY4,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,-0.7,-0.23
PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,1500,23.2,4.11
PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,1000,20.1,4.01
PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,500,13.6,2.82
PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,200,5.7,1.33
PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,100,1.9,0.48
PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,50,0.4,0.14
PTY4CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,0,-1,-0.38
PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,18.2,3.23
PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,16.8,3.27
PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,14.2,2.89
PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,9.9,2.35
PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,6.1,1.73
PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,5.8,1.87
PTY5,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,4.4,1.67
PTY5CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,1500,5.7,2.91
PTY5CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,1000,5.1,2.73
