"","Site","Year","Species","spp_trt","Phytometer","Neighbour","Treatment","light","carbon","WUE"
"51","CCP5CU",2016,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",13.4,2.07
"52","CPP6",2016,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",11.7,3.04
"53","CCP6CU",2016,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",13.5,2.2
"54","CCP7",2016,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",8.7,1.48
"55","CCP7CU",2016,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",10.9,2.03
"56","CCP8",2016,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",5.4,2.73
"57","CCP8CU",2016,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",13.7,2.52
"58","CCP9",2016,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",10.1,1.87
"59","CCP9CU",2016,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",13.9,1.82
"60","CCP10",2016,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",7.6,1.37
"61","CCP10CU",2016,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",15.7,1.99
"62","CCP11",2016,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",5,1.21
"63","CCP11CU",2016,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",8.3,1.27
"64","CCP12",2016,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",8.2,1.69
"65","CAP1",2016,"Carex","Carex_Phragmites_Competition","Carex_Phragmites","Phragmites","Competition","1500",3.6,0.98
"66","CAP4",2016,"Carex","Carex_Phragmites_Competition","Carex_Phragmites","Phragmites","Competition","1500",2.8,0.65
"67","CAP11",2016,"Carex","Carex_Phragmites_Competition","Carex_Phragmites","Phragmites","Competition","1500",0.7,0.26
"68","CAP6CU",2016,"Carex","Carex_Phragmites_No competition","Carex_Phragmites","Phragmites","No competition","1500",13.7,2.12
"69","CAP7CU",2016,"Carex","Carex_Phragmites_No competition","Carex_Phragmites","Phragmites","No competition","1500",15.8,2.07
"70","CAP10",2016,"Carex","Carex_Phragmites_Competition","Carex_Phragmites","Phragmites","Competition","1500",9.1,1.62
"71","CAP10CU",2016,"Carex","Carex_Phragmites_No competition","Carex_Phragmites","Phragmites","No competition","1500",12.8,2.06
"72","CCP1",2016,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",5.6,1.53
"73","CCP1CU",2016,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",9.4,2.63
"74","CCP2",2016,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",13,1.96
"75","CCP2CU",2016,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",9,1.79
