,Site,Year,Species,Phytometer,Neighbour,Treatment,Date,light,carbon,WUE
102,CAP5CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,200,5.1,
103,CAP5CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,100,1.5,
104,CAP5CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,50,-0.3,
105,CAP5CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,0,-1.3,
106,CAP6,2017,Carex,Carex_Phragmites,Phragmites,Competition,11-Jul-17,1500,11.9,
107,CAP6,2017,Carex,Carex_Phragmites,Phragmites,Competition,11-Jul-17,1000,11.5,
108,CAP6,2017,Carex,Carex_Phragmites,Phragmites,Competition,11-Jul-17,500,10.2,
109,CAP6,2017,Carex,Carex_Phragmites,Phragmites,Competition,11-Jul-17,200,5.9,
110,CAP6,2017,Carex,Carex_Phragmites,Phragmites,Competition,11-Jul-17,100,3.1,
111,CAP6,2017,Carex,Carex_Phragmites,Phragmites,Competition,11-Jul-17,50,1.2,
112,CAP6,2017,Carex,Carex_Phragmites,Phragmites,Competition,11-Jul-17,0,0,
113,CAP6CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,1500,13.7,
114,CAP6CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,1000,12.2,
115,CAP6CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,500,9.4,
116,CAP6CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,200,4.8,
117,CAP6CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,100,1.4,
118,CAP6CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,50,0,
119,CAP6CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,0,-1,
120,CAP7CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,1500,13.8,
121,CAP7CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,1000,12.7,
122,CAP7CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,500,9.5,
123,CAP7CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,200,4.3,
124,CAP7CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,100,0.9,
