n,ID,Year,Species,Treatment,Neighbour,LCPT,LSP
22,PCC2CU_2016,2016,Phragmites,No competition,Calamagrostis,41.09285039,954.8186045
136,PCC2CU_2017,2017,Phragmites,No competition,Calamagrostis,22.72743977,1147.554166
24,PCC3CU_2016,2016,Phragmites,No competition,Calamagrostis,38.69647416,624.8905796
138,PCC3CU_2017,2017,Phragmites,No competition,Calamagrostis,11.89325493,895.8811415
25,PCC4CU_2016,2016,Phragmites,No competition,Calamagrostis,23.23665281,935.0947335
140,PCC4CU_2017,2017,Phragmites,No competition,Calamagrostis,87.73503918,1209.424522
45,PCC5CU_2016,2016,Phragmites,No competition,Calamagrostis,-13.81001623,630.8170231
142,PCC5CU_2017,2017,Phragmites,No competition,Calamagrostis,55.93278862,725.4915124
47,PCC6CU_2016,2016,Phragmites,No competition,Calamagrostis,32.03672765,594.3493728
144,PCC6CU_2017,2017,Phragmites,No competition,Calamagrostis,24.85056144,758.772077
2,PTY1CU_2016,2016,Phragmites,No competition,Typha,18.97223034,1287.24971
146,PTY1CU_2017,2017,Phragmites,No competition,Typha,30.28089978,600.0422186
4,PTY2CU_2016,2016,Phragmites,No competition,Typha,41.01202856,1114.925276
148,PTY2CU_2017,2017,Phragmites,No competition,Typha,34.48788825,1052.181998
6,PTY3CU_2016,2016,Phragmites,No competition,Typha,35.90492931,1094.633881
8,PTY4CU_2016,2016,Phragmites,No competition,Typha,35.45568805,1083.774053
151,PTY4CU_2017,2017,Phragmites,No competition,Typha,-8.515296455,539.3756308
10,PTY5CU_2016,2016,Phragmites,No competition,Typha,-6.533264349,1449.843106
12,PTY6CU_2016,2016,Phragmites,No competition,Typha,-27.77632966,590.3680687
154,PTY6CU_2017,2017,Phragmites,No competition,Typha,28.69943668,983.2837908
26,TYP1_2016,2016,Typha,Competition,Phragmites,-43.62470236,705.3826853
155,TYP1_2017,2017,Typha,Competition,Phragmites,62.65073493,476.6084901
28,TYP2_2016,2016,Typha,Competition,Phragmites,38.00636782,655.3609546
157,TYP2_2017,2017,Typha,Competition,Phragmites,47.3634621,386.7168173
30,TYP3_2016,2016,Typha,Competition,Phragmites,45.28442663,652.8931063
159,TYP3_2017,2017,Typha,Competition,Phragmites,45.33377667,593.1891002
13,TYP4_2016,2016,Typha,Competition,Phragmites,NA,NA
161,TYP4_2017,2017,Typha,Competition,Phragmites,40.19693252,564.3561143
15,TYP5_2016,2016,Typha,Competition,Phragmites,15.30027345,550.567233
163,TYP5_2017,2017,Typha,Competition,Phragmites,35.78376711,572.0268264
17,TYP6_2016,2016,Typha,Competition,Phragmites,8.498562257,475.5240055
165,TYP6_2017,2017,Typha,Competition,Phragmites,-19.38460163,486.0227849
27,TYP1CU_2016,2016,Typha,No competition,Phragmites,-172.5351515,570.1043267
156,TYP1CU_2017,2017,Typha,No competition,Phragmites,88.79592176,2020.443308
29,TYP2CU_2016,2016,Typha,No competition,Phragmites,-145.9214726,552.3872289
158,TYP2CU_2017,2017,Typha,No competition,Phragmites,NA,NA
31,TYP3CU_2016,2016,Typha,No competition,Phragmites,37.83554963,676.6642278
160,TYP3CU_2017,2017,Typha,No competition,Phragmites,19.79230075,539.7192541
14,TYP4CU_2016,2016,Typha,No competition,Phragmites,NA,NA
162,TYP4CU_2017,2017,Typha,No competition,Phragmites,NA,NA
16,TYP5CU_2016,2016,Typha,No competition,Phragmites,10.36724592,439.4042013
164,TYP5CU_2017,2017,Typha,No competition,Phragmites,37.91911602,1239.73162
18,TYP6CU_2016,2016,Typha,No competition,Phragmites,NA,NA
166,TYP6CU_2017,2017,Typha,No competition,Phragmites,37.84452759,619.7548511
