Site,Year,Species,Phytometer,Neighbour,Treatment,Date,1500,1000,500,200,100,50,0
PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,17.6,16.2,13.1,6.4,2.9,0.3,-0.7
PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,24.7,21.7,14.9,5.8,1.5,-0.7,-1.9
PCA2,2017,Phragmites,Phragmites_Carex,Carex,Competition,11-Jul-17,13,12.5,10.3,5.2,1.6,-0.1,-1.3
PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,13.9,12.7,9.8,5.1,0.6,0.1,-1
PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,5.7,6.2,6.2,5.2,3.3,1.5,-1
PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,12.2,12.1,10.9,7.1,3.9,2.7,0.6
PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,24,21.4,16.7,9.1,3.8,1.7,0.9
PTY3,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,21.9,19.9,14.4,8.2,3.5,1.4,0
PTY4,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,22,19.5,13.7,6.5,2.3,0.2,-1.1
PTY5,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,21.9,18.6,13.4,6.8,3.1,1,-0.2
PTY6,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,23.1,20.4,14.6,6.1,2,0,-1.3
TYP1CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,12-Jul-17,6.7,5.7,3.9,1.9,0.3,-1.1,-2.7
TYP2CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,12-Jul-17,18.9,19,14.6,4.6,1.8,-0.7,-1.9
TYP3CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,12-Jul-17,20.7,20.7,14.9,6.7,2.4,0.6,-0.4
TYP4CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,12-Jul-17,23.8,22,16.4,6.3,1.5,-0.1,-1.2
TYP5CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,14-Jul-17,21.3,18.4,13.4,6.5,2.4,0.1,-1.4
TYP6CU,2017,Typha,Typha_Phragmites,Phragmites,No competition,14-Jul-17,24,22.2,17,7.1,2.7,0.2,-1.4
TYP1,2017,Typha,Typha_Phragmites,Phragmites,Competition,12-Jul-17,7.8,8.4,6.3,4,1.1,-0.5,-2.4
TYP2,2017,Typha,Typha_Phragmites,Phragmites,Competition,12-Jul-17,13.3,14.7,12.1,5.7,1.8,-0.1,-1.6
TYP3,2017,Typha,Typha_Phragmites,Phragmites,Competition,12-Jul-17,17.7,16.2,13.1,6,2.1,-0.3,-1.5
TYP4,2017,Typha,Typha_Phragmites,Phragmites,Competition,12-Jul-17,21.3,20.5,15.6,6.7,2.4,0,-1.4
TYP5,2017,Typha,Typha_Phragmites,Phragmites,Competition,14-Jul-17,22.6,21.5,16.4,7,2.6,0.2,-1.2
TYP6,2017,Typha,Typha_Phragmites,Phragmites,Competition,14-Jul-17,22.3,22.8,17.2,7.8,3.5,2.1,0.8
