Pair,Site,Year,Species,spp_trt,Phytometer,Neighbour,Treatment,light,carbon,WUE
12,CCP12,2016,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,8.2,1.69
1,CAP1,2016,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,3.6,0.98
4,CAP4,2016,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,2.8,0.65
11,CAP11,2016,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,0.7,0.26
6,CAP6CU,2016,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,13.7,2.12
7,CAP7CU,2016,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,15.8,2.07
10,CAP10,2016,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,9.1,1.62
10,CAP10CU,2016,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,12.8,2.06
1,CCP1,2016,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,5.6,1.53
1,CCP1CU,2016,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,9.4,2.63
2,CCP2,2016,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,13,1.96
2,CCP2CU,2016,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,9,1.79
3,CCP3,2016,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,10.8,1.7
1,CAP1,2017,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,10.1,1.98
10,CAP10,2017,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,12.4,2.56
10,CAP10CU,2017,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,14,2.68
11,CAP11,2017,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,12.2,1.95
12,CAP12,2017,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,8.1,2.09
12,CAP12CU,2017,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,14.7,2.28
1,CAP1CU,2017,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,14.5,2.44
2,CAP2,2017,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,10.3,2.6
2,CAP2CU,2017,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,12,2.52
3,CAP3,2017,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,9.5,2.23
3,CAP3CU,2017,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,10.9,2.2
4,CAP4,2017,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,15,2.27
4,CAP4CU,2017,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,15.3,2.94
5,CAP5,2017,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,13.8,2.48
5,CAP5CU,2017,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,17,3.05
6,CAP6,2017,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,11.9,2.2
6,CAP6CU,2017,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,13.7,2.28
7,CAP7CU,2017,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,13.8,2.22
9,CAP9,2017,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,13.6,2.52
9,CAP9CU,2017,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,24.9,2.84
7,CCP1,2017,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,5.5,1.57
10,CCP10,2017,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,9.4,1.8
10,CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,10.9,2.71
11,CCP11,2017,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,9.1,2.42
11,CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,12.9,2.41
12,CCP12,2017,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,5.1,2.13
12,CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,14.3,2.19
1,CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,14.5,1.88
2,CCP2,2017,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,9.8,2.09
2,CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,18.4,2.41
3,CCP3,2017,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,12.5,1.79
3,CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,15.6,2.17
4,CCP4,2017,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,11.6,2.64
4,CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,14.8,2.5
5,CCP5,2017,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,11.4,1.99
5,CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,5.5,1.38
6,CCP6,2017,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,7.8,1.86
6,CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,16.5,2.42
7,CCP7,2017,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,8.1,2.03
7,CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,15.7,2.72
8,CCP8,2017,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,5.5,1.49
8,CCP8CU,2017,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,16.2,2.71
9,CCP9,2017,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,10.7,2.03
9,CCP9CU,2017,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,13.7,2.34
1,PCA1,2017,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,18.9,3.29
1,PCA1CU,2017,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,14.7,2.63
2,PCA2,2017,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,13,2.81
2,PCA2CU,2017,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,19.7,3.09
3,PCA3,2017,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,16.4,2.28
3,PCA3CU,2017,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,18.1,3.01
4,PCA4,2017,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,19.9,3.02
4,PCA4CU,2017,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,25.9,2.23
5,PCA5,2017,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,21,3.03
5,PCA5CU,2017,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,15.6,3.28
6,PCA6,2017,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,22.3,2.83
6,PCA6CU,2017,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,23.1,2.94
1,PCC1,2017,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,26.3,3.01
1,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,16.3,3.08
