Pair,Site,Year,Species,spp_trt,Phytometer,Neighbour,Treatment,light,carbon,WUE,WUE.RCI,WUE.RCI,,
37,CAP7CU,2017,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,13.8,2.22,,,,
39,CAP9,2017,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,13.6,2.52,,,,
39,CAP9CU,2017,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,24.9,2.84,0.112676056,0.112676056,,
40,CAP10,2017,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,12.4,2.56,,,,
40,CAP10CU,2017,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,14,2.68,0.044776119,0.044776119,,
41,CAP11,2017,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,12.2,1.95,,,,
42,CAP12,2017,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,8.1,2.09,,,,
42,CAP12CU,2017,Carex,Carex_Phragmites_No competition,Carex_Phragmites,Phragmites,No competition,1500,14.7,2.28,0.083333333,0.083333333,,
,,,,,,,,,,,,,,
1,PCC1,2016,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,15.7,4.01,,,,
1,PCC1CU,2016,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,25.9,3.83,-0.046997389,-0.046997389,,0.045559275
2,PCC2,2016,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,15.1,2.81,,,,0.113820067
2,PCC2CU,2016,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,23.6,3.12,0.099358974,0.099358974,,0.032857023
3,PCC3,2016,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,17.3,2.82,,,,
3,PCC3CU,2016,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,19,4.25,0.336470588,0.336470588,,
4,PCC4CU,2016,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,20.4,3.21,,,,
4,PCC4,2016,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,23.2,3.21,0,0,,
5,PCC5,2016,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,14.2,2.68,,,,
5,PCC5CU,2016,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,19,2.61,-0.026819923,-0.026819923,,
6,PCC6,2016,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,18.4,2.83,,,,
6,PCC6CU,2016,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,17.7,2.91,0.027491409,0.027491409,,
31,PCC1,2017,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,26.3,3.01,,,,
31,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,16.3,3.08,0.022727273,0.022727273,,
32,PCC2,2017,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,17.7,3.21,,,,
32,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,16,3.56,0.098314607,0.098314607,,
33,PCC3,2017,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,19.2,2.99,,,,
33,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,15.4,3.02,0.009933775,0.009933775,,
34,PCC4,2017,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,21.2,2.62,,,,
34,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,16.9,2.79,0.0609319,0.0609319,,
35,PCC5,2017,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,15.75,2.24,,,,
35,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,17.7,2.48,0.096774194,0.096774194,,
