"","Moist.log","Cu.log","Fe.log","Mn.log","P.log","Mg.log","K.log","Zn.log","C.log","TN.log","Na.log","Ca.log","S.log","Light.log","pH"
"22",13.6565159988061,2.33505228313155,6.22455842927536,3.83297979808769,3.68887945411394,6.53813982376767,4.94875989037817,2.43361335540045,11.8961517807404,9.40104337279805,4.45085282560373,8.86545282575362,7.86365126544865,2.87919845729804,6.3
"23",13.6387745727809,1.09861228866811,5.47646355193151,4.42962561347316,3.71357206670431,5.70711026474888,4.79579054559674,2.2554934854602,12.2904183895416,9.62911649414402,4.31882055877009,9.47738596957752,7.93773177526011,2.98061863574394,6.6
"24",13.4386343644329,1.88706964903238,5.83773044716594,3.1267605359604,3.43398720448515,6.13339804299665,5.30330490805908,2.80336038090653,12.0051858156015,9.01201137703641,5.605802066296,8.91004576147356,8.82482493917564,1.68639895357023,6.6
"25",13.5961112382581,1.31103187661934,5.57972982598622,3.79098467705109,2.77258872223978,4.70953020131233,3.63758615972639,1.43031124653666,11.4845362784615,8.5173931714189,4.15261347034608,8.61086566727887,6.90875477931522,1.41098697371026,6.9
"26",13.5103445280227,0.727548607277278,6.39526159811545,4.45782959808938,3.73766961828337,6.44730586254121,5.30330490805908,1.69561560867515,12.276069679344,9.72322387685162,4.74493212836325,8.85452220375743,8.1318247850072,1.48160454092422,5.4
"27",13.654168582643,1.83577635464483,6.16120732169508,4.51961229762644,3.43398720448515,6.4150969591716,5.6021188208797,3.00071981506503,12.0564176781598,9.51789859843275,4.23555473077362,8.83869681234353,7.9728107841214,1.56861591791385,6.4
"28",13.6194968905826,1.4655675420144,5.86929691313377,3.74714836223791,3.13549421592915,5.19849703126583,4.11087386417331,2.0906287310704,11.8137779258454,8.89576660405609,4.14630430115281,8.89192414015454,7.49609734517596,2.89037175789616,6.7
"29",13.6762496400554,1.27536280041261,6.55250788703459,4.43793426661218,3.58351893845611,6.06610809010375,5.25227342804663,2.54160199346455,12.4232021486556,9.83633227734872,4.56226268497681,9.44864835981016,7.93773177526011,2.02814824729229,6.4
"30",13.6576876437302,2.18829594659192,5.93753620508243,3.58351893845611,4.0943445622221,6.13339804299665,5.08140436498446,2.63188884013665,11.9388531133031,9.4955944993533,4.19268046294296,9.05742226555147,7.82444593087762,1.56861591791385,6.8
"31",13.2194919030154,1.54543258245819,5.40717177146012,2.88480071284671,3.25809653802148,5.44241771052179,4.02535169073515,1.96150224381515,11.5540770051843,8.77971129020447,4.03953632572711,8.6278397115033,7.55013534248843,1.06471073699243,6.8
"32",13.0280548957329,0.741937344729377,4.29864502573483,2.97552956623647,2.28238238567653,4.70953020131233,3.40119738166216,1.04027671165515,10.9437819318797,7.74109909003537,3.65325227647079,8.20467182895081,6.55250788703459,0.587786664902119,7.3
"33",13.1021627109011,1.25276296849537,5.20948615284142,3.80220813942094,2.77258872223978,5.14166355650266,4.00733318523247,1.97129938306013,11.010415172808,8.07121853996986,4.10923317471585,8.426611813185,7.09090982207998,0.53062825106217,6.8
"34",13.6010801864087,1.18172719537862,5.39362754635236,4.77912349311153,3.61091791264422,5.6021188208797,4.24849524204936,2.34564458245449,12.1232397990369,9.38437770918244,4.06560209335645,9.01930092456251,7.55013534248843,0.8754687373539,6.9
"35",13.6553429795197,1.15373158788919,5.64544689764324,2.39516427428714,3.3322045101752,5.6021188208797,3.71357206670431,1.95868534054404,11.3885067115562,8.57565076098781,3.7796338173824,8.80762148953604,7.09090982207998,0.993251773010283,7
"36",13.6739481457156,0.732367893713227,4.26969744969996,3.47196645255036,2.14006616349627,4.44265125649032,3.04452243772342,1.27815220250019,10.8435143420869,7.69666708152646,3.33932197794407,8.22897764335831,6.01859321449623,1.06471073699243,7.5
"37",13.6600268233475,1.46787434811231,5.24174701505964,5.31320597904179,2.83321334405622,4.87519732320115,3.68887945411394,1.78170913337455,11.0186455364637,8.29429960885724,3.63758615972639,8.4707303170059,6.79234442747081,0.916290731874155,6.6
"38",13.6529928049364,1.32175583998232,5.11799381241676,3.67882911826043,3.68887945411394,5.73979291217923,4.79579054559674,2.99071973173045,11.8529698851683,9.19023970026918,3.8286413964891,8.84793475332846,7.55013534248843,2.11625551480255,7
"39",13.667011709738,0.770108221696074,4.15103990589865,3.03495298670727,1.70474809223843,4.00733318523247,2.94443897916644,0.703097511413113,10.5479958074895,7.31388683163346,3.26956893918372,8.06902932877496,5.88887795833288,1.09861228866811,7.1
"40",13.6750995549949,1.58514521986506,5.74939298590825,3.71600812150219,3.46573590279973,5.77144112313002,3.80666248977032,2.02683159140754,11.2332247895934,8.41205487329293,4.07923092441205,8.68169016329764,7.49609734517596,0.8754687373539,6.4
"41",13.6623605439706,0.765467842139571,4.99043258677874,4.19720194766181,2.63905732961526,5.01727983681492,3.93182563272433,1.58923520511658,11.3930264421913,8.68287710705717,3.85014760171006,8.41538192526955,6.68586094706836,2.63905732961526,7.4
"42",13.6635253651101,0.751416088683921,4.92725368515721,3.53514535417189,2.94443897916644,5.01727983681492,3.52636052461616,1.3787660946991,11.1562648066437,8.47657950853094,3.26575941076705,8.53660358493606,6.81454289725996,0.955511445027436,7
"43",13.6762496400554,1.57691472072854,5.39816270151775,3.05870707271538,2.89037175789616,5.19849703126583,3.8286413964891,1.65632149833295,11.0898206886824,8.21635833238616,4.03600898520914,8.57847641983314,7.24494154633701,1.25276296849537,6.7
"44",13.6194968905826,1.02245092770255,4.88280192258637,3.18635263316264,2.77258872223978,5.19849703126583,4.0943445622221,1.38379123090177,10.749377279111,7.650168700845,3.86283276123737,8.27664912542186,7.00397413672268,0.916290731874155,6.6
