"","Site.ID","Species","Neighbours","Competition","date","height"
"192","CCP5","Calamagrostis","Phragmites","Yes","100517","71"
"193","CCP5","Calamagrostis","Phragmites","Yes","160617","120"
"194","CCP5","Calamagrostis","Phragmites","Yes","270517","99"
"195","CCP5","Calamagrostis","Phragmites","Yes","280617","124"
"196","CCP5CU","Calamagrostis","Phragmites","No","070617","89"
"197","CCP5CU","Calamagrostis","Phragmites","No","100517","70"
"198","CCP5CU","Calamagrostis","Phragmites","No","160617","94"
"199","CCP5CU","Calamagrostis","Phragmites","No","270517","90"
"200","CCP5CU","Calamagrostis","Phragmites","No","280617","95"
"201","CCP6","Calamagrostis","Phragmites","Yes","070617","74"
"202","CCP6","Calamagrostis","Phragmites","Yes","100517","65"
"203","CCP6","Calamagrostis","Phragmites","Yes","160617","98"
"204","CCP6","Calamagrostis","Phragmites","Yes","270517","104"
"205","CCP6","Calamagrostis","Phragmites","Yes","280617","100"
"206","CCP6CU","Calamagrostis","Phragmites","No","070617","91"
"207","CCP6CU","Calamagrostis","Phragmites","No","100517","64"
"208","CCP6CU","Calamagrostis","Phragmites","No","160617","99"
"209","CCP6CU","Calamagrostis","Phragmites","No","270517","86"
"210","CCP6CU","Calamagrostis","Phragmites","No","280617","105"
"211","CCP7","Calamagrostis","Phragmites","Yes","070617","91"
"212","CCP7","Calamagrostis","Phragmites","Yes","100517","64"
"213","CCP7","Calamagrostis","Phragmites","Yes","160617","105"
"214","CCP7","Calamagrostis","Phragmites","Yes","270517","84"
"215","CCP7","Calamagrostis","Phragmites","Yes","280617","112"
"216","CCP7CU","Calamagrostis","Phragmites","No","070617","94"
"217","CCP7CU","Calamagrostis","Phragmites","No","100517","65"
"218","CCP7CU","Calamagrostis","Phragmites","No","160617","109"
"219","CCP7CU","Calamagrostis","Phragmites","No","270517","86"
"220","CCP7CU","Calamagrostis","Phragmites","No","280617","110"
"221","CCP8","Calamagrostis","Phragmites","Yes","070617","96"
"222","CCP8","Calamagrostis","Phragmites","Yes","100517","62"
"223","CCP8","Calamagrostis","Phragmites","Yes","160617","90"
"224","CCP8","Calamagrostis","Phragmites","Yes","270517","86"
"225","CCP8","Calamagrostis","Phragmites","Yes","280617","90"
"226","CCP8CU","Calamagrostis","Phragmites","No","070617","107"
"227","CCP8CU","Calamagrostis","Phragmites","No","100517","59"
"228","CCP8CU","Calamagrostis","Phragmites","No","160617","124"
"229","CCP8CU","Calamagrostis","Phragmites","No","270517","96"
"230","CCP8CU","Calamagrostis","Phragmites","No","280617","130"
"231","CCP9","Calamagrostis","Phragmites","Yes","070617","112"
"232","CCP9","Calamagrostis","Phragmites","Yes","100517","79"
"233","CCP9","Calamagrostis","Phragmites","Yes","160617","118"
"234","CCP9","Calamagrostis","Phragmites","Yes","270517","107"
"235","CCP9","Calamagrostis","Phragmites","Yes","280617","135"
"236","CCP9CU","Calamagrostis","Phragmites","No","070617","94"
"237","CCP9CU","Calamagrostis","Phragmites","No","100517","79"
